id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
50904;aplace/antwerp: cosy suite - fashion district;234077;Karin;;Historisch Centrum;5.121.825;439.901;Hotel room;158;1;1;6/05/2015;0.01;4;246
116134;Trendy Vacation Apartment Antwerp;586942;Paul;;Eilandje;5.123.051;440.593;Entire home/apt;150;2;102;16/11/2020;0.95;1;352
224333;Large stylish room in 1930s house + garden;1167377;Geert;;Deurne Zuid West;5.119.772;445.853;Private room;16;14;2;4/07/2020;0.02;2;1
224682;APARTMENT ROSCAM - OLD CENTRE ANTWERP;1263933;Kristien;;Sint-Andries;5.121.722;43.979;Entire home/apt;86;2;337;28/12/2020;3.12;1;362
328911;Large Modern Apt W Great Park Views;1263814;Tinne;;Stadspark;5.121.078;44.105;Entire home/apt;44;15;59;30/10/2019;0.55;1;57
345959;Marleen's home in Antwerp city;1754396;Marleen;;Markgrave;5.119.935;440.154;Entire home/apt;55;2;55;22/09/2020;0.52;2;338
363155;1-bedroom apartment with court yard;1835458;Roos;;Amandus - Atheneum;5.122.119;441.951;Entire home/apt;50;2;20;6/11/2020;0.19;1;305
366252;ROOM IN FAMILY HOME near C. Station;1820186;Fronk & Lieve;;Borgerhout Intra Muros Noord;5.121.601;443.432;Private room;35;1;104;15/09/2019;0.97;6;365
445201;ROOM in FAMILY HOME near Central Sation;1820186;Fronk & Lieve;;Borgerhout Intra Muros Noord;5.121.579;443.265;Private room;22;1;55;10/09/2020;0.53;6;365
522693;Ahome Awayfromhome;2562294;Ahome;;Historisch Centrum;5.122.001;439.813;Entire home/apt;282;2;2;27/10/2017;0.03;1;364
573641;Design Apartment Near The Center!;2822632;Ariane;;Hoogte;5.118.187;439.381;Entire home/apt;98;3;20;26/02/2019;0.20;2;0
"575935,""Room in Cosy Design Duplex, Antwerp"",1128692,Larissa,,Hoogte,51.18152,4.39463,Private room,69,2,36,2020-03-08,0.35,1,17";;;;;;;;;;;;;;;
603545;*Perfect* for a Longer Stay | Trendy | City center;2987880;Serge;;Harmonie;5.120.753;440.589;Entire home/apt;150;2;22;13/09/2020;0.22;1;1
"636664,""sunny rooftop apartment, sleeps 2-5"",462975,Els,,Borgerhout Intra Muros Zuid,51.21618,4.43037,Entire home/apt,85,2,81,2020-03-15,0.80,1,365";;;;;;;;;;;;;;;
639013;The chill place in Antwerp 1;3189018;Cathy;;Borgerhout Intra Muros Noord;5.121.748;44.456;Private room;85;2;34;22/07/2018;0.33;3;364
685049;Stylish decorated  room in 'art nouveau house';3493319;Glenn;;Oud - Berchem;5.119.589;441.443;Private room;65;2;5;24/02/2020;0.06;1;364
723033;Spacy family studio in Antwerp City;3734348;Sylvia;;Stadspark;5.120.955;441.481;Entire home/apt;63;2;237;8/03/2020;2.38;1;59
772842;Stay in a designers place & donate;4050173;Daisy;;Linkeroever;5.121.775;438.434;Entire home/apt;82;7;66;1/06/2018;0.68;1;1
778043;cosy & beautiful apartment Antwerp;1735092;Marc & Elizabeth;;Stadspark;5.120.399;441.249;Entire home/apt;76;2;62;1/01/2020;0.64;1;362
789555;#�NOMBRE?;3185214;Annemie;;Centraal Station;512.117;442.665;Entire home/apt;93;2;48;9/03/2020;0.49;4;329
813969;150 m² loft (terrace & river view);4277604;Sarah;;Sint-Andries;5.121.347;439.125;Entire home/apt;196;1;62;17/10/2020;0.92;2;0
842077;4 Cosy rooms near Central Station;4396703;Son;;Amandus - Atheneum;512.215;442.606;Private room;40;1;402;7/07/2020;4.12;5;361
866701;4 Cosy rooms near Central Station;4396703;Son;;Amandus - Atheneum;512.215;442.606;Private room;40;1;284;14/07/2020;2.94;5;1
890384;+++ blancoooHOME +++;3185214;Annemie;;Centraal Station;5.121.198;44.269;Entire home/apt;150;7;0;;;4;292
"891355,""BorzeB&B, sleeping in the heart of Antwerp!"",1366391,Micheline,,Universiteitsbuurt,51.22043,4.40562,Private room,85,2,79,2020-02-03,0.85,1,153";;;;;;;;;;;;;;;
891884;aplace/antwerp: amazing suite & square view;234077;Karin;;Historisch Centrum;5.121.825;439.901;Hotel room;157;1;10;20/10/2019;0.54;4;0
891907;aplace/antwerp: stunning flat with square view;234077;Karin;;Historisch Centrum;5.121.825;439.901;Entire home/apt;178;2;5;9/02/2020;0.06;4;330
959200;NEST;4715596;Caroline & Klaas;;Borgerhout Intra Muros Noord;5.121.596;443.764;Entire home/apt;49;2;58;13/06/2020;0.67;2;0
961296;Great Classic House in Antwerp (4-10 persons);3189018;Cathy;;Borgerhout Intra Muros Noord;5.121.531;444.498;Entire home/apt;317;1;48;29/01/2020;0.61;3;0
991824;Colourful Inspiration In Every Room;5446991;Magali;;Deurne Zuid West;5.120.316;446.015;Entire home/apt;77;1;230;4/10/2020;2.46;2;362
1050693;Colourful Inspiration In Every Room;5446991;Magali;;Deurne Zuid West;5.120.316;446.015;Entire home/apt;77;1;23;23/09/2020;0.26;2;1
"1105318,""Number22Antwerp, cosy duplex"",6068286,Frederic Luca,,Zuid,51.21024,4.39995,Entire home/apt,75,2,29,2020-01-01,0.32,3,365";;;;;;;;;;;;;;;
1108491;4 Cosy rooms near Central Station! ~ double room;4396703;Son;;Amandus - Atheneum;512.215;442.606;Private room;40;1;216;23/08/2020;2.32;5;360
1146375;Homey apartment near Antwerpen Centraal Station;1764235;Isa;;Borgerhout Intra Muros Noord;5.121.751;44.298;Entire home/apt;57;1;165;1/10/2020;1.80;1;350
"1172376,""Number22Antwerp, Cosy & Trendy Flat"",6068286,Frederic Luca,,Zuid,51.21026,4.40138,Entire home/apt,80,1,16,2020-10-23,0.18,3,365";;;;;;;;;;;;;;;
1172826;Bedroom in large antique house near parks+trams;1167377;Geert;;Deurne Zuid West;5.119.813;445.807;Private room;16;7;3;4/03/2020;0.16;2;365
